site_id,northing,easting,dataset
0,207104.2812,455197.0424,sssi_england
1,207523.9221,451939.7613,sssi_england
2,208509.771,449379.1801,sac_england
3,208509.771,449379.1801,sssi_england
4,209172.2732,449675.3589,sssi_england
5,209683.6289,448540.9575,sssi_england
6,209719.6262,448507.349,sac_england
7,209809.9311,448494.3979,sssi_england
8,202744.0642,453072.1934,sssi_england
9,203784.4441,452261.7975,sssi_england
10,205182.0066,454784.0248,sssi_england
11,205190.9537,455731.614,sssi_england
12,206466.7517,455008.5136,sssi_england
13,206495.4966,451964.0571,sssi_england
14,202053.275,455574.1659,agi
15,202073.415,455316.0769,agi
16,202233.58,455938.813,agi
17,202291.43,453537.6434,agi
18,202546.92,454047.6941,agi
19,202754.2,453751.7393,agi
20,202822.65,453903.9152,agi
21,202926.075,453578.6026,agi
22,203054.225,452915.686,agi
23,203305.075,452589.5184,agi
24,203448.225,452782.4633,agi
25,203472.65,453196.6306,agi
26,203659.715,454240.1906,agi
27,203820.53,453957.9382,agi
28,203890.515,453502.7585,agi
29,203048.275,455091.8782,agi
30,203106.315,454505.3465,agi
31,203228.79,454870.2429,agi
32,203319.11,454571.8708,agi
33,203435.555,454743.9037,agi
34,203554.755,454597.8999,agi
35,203644.7,454483.1731,agi
36,203680.83,454618.3497,agi
37,204408.7,455891.5708,agi
38,204476.375,455347.1775,agi
39,203896.2,453735.7048,agi
40,203933.4,454038.0496,agi
41,204055.115,451857.9025,agi
42,204134.595,454232.229,agi
43,204300.485,452087.3581,agi
44,204455.67,452808.4479,agi
45,204468.265,453563.5435,agi
46,204535.51,452216.1579,agi
47,204562.425,453145.6513,agi
48,204872.605,454164.175,agi
49,204870.375,451393.819,agi
50,205145.465,451156.1173,agi
51,205237.035,451069.1415,agi
52,205622.85,451077.8711,agi
53,205858.15,451449.0905,agi
54,204910.1,453532.6809,agi
55,204920.075,453921.8366,agi
56,205162.385,452424.3949,agi
57,205261.065,453650.6137,agi
58,205281.79,452550.4423,agi
59,205404.005,452411.1106,agi
60,205426.4,453144.1662,agi
61,205466.475,453469.2167,agi
62,205581.365,453102.587,agi
63,205600.81,452568.5779,agi
64,205896.69,450507.715,agi
65,205957.7,449836.7478,agi
66,205981.29,451496.234,agi
67,205970.045,449622.4824,agi
68,206012.855,451204.4787,agi
69,206032.345,451168.4749,agi
70,206148.71,450604.0548,agi
71,206194.3,450164.8225,agi
72,205641.75,453038.5122,agi
73,205853.5,452037.3436,agi
74,206084.945,452035.2853,agi
75,206148.725,453226.2269,agi
76,206211.725,452497.9426,agi
77,206320.425,452734.4513,agi
78,206449.18,453015.655,agi
79,206530.485,454090.0491,agi
80,206534.775,452698.6871,agi
81,206550.85,454041.7519,agi
82,205969.975,455341.1775,agi
83,206060.795,454688.7877,agi
84,206133.98,454922.2631,agi
85,206163.06,455198.3541,agi
