site_id,northing,easting,dataset,quality
0,207104.2812,455197.0424,sssi_england,0.5247240713084176
1,207523.9221,451939.7613,sssi_england,0.8704285838459498
2,208509.771,449379.1801,sac_england,0.7391963650868432
3,208509.771,449379.1801,sssi_england,0.659195091
4,209172.2732,449675.3589,sssi_england,0.39361118426546193
5,209683.6289,448540.9575,sssi_england,0.3935967122017216
6,209719.6262,448507.349,sac_england,0.33485016730091965
7,209809.9311,448494.3979,sssi_england,0.8197056874649611
8,202744.0642,453072.1934,sssi_england,0.6606690070459253
9,203784.4441,452261.7975,sssi_england,0.7248435466776273
10,205182.0066,454784.0248,sssi_england,0.31235069657748143
11,205190.9537,455731.614,sssi_england,0.8819459112971966
12,206466.7517,455008.5136,sssi_england,0.7994655844802532
13,206495.4966,451964.0571,sssi_england,0.4274034664069657
14,202053.275,455574.1659,agi,0.4090949803242604
15,202073.415,455316.0769,agi,0.41004270591206027
16,202233.58,455938.813,agi,0.4825453457757226
17,202291.43,453537.6434,agi,0.6148538589793427
18,202546.92,454047.6941,agi,0.5591670111852695
19,202754.2,453751.7393,agi,0.47473748411882516
20,202822.65,453903.9152,agi,0.6671117368334277
21,202926.075,453578.6026,agi,0.3836963163912251
22,203054.225,452915.686,agi,0.47528678912113087
23,203305.075,452589.5184,agi,0.5198171059762151
24,203448.225,452782.4633,agi,0.5736419905302216
25,203472.65,453196.6306,agi,0.7711055768358082
26,203659.715,454240.1906,agi,0.41980426929501585
27,203820.53,453957.9382,agi,0.608540663
28,203890.515,453502.7585,agi,0.6554487413172255
29,203048.275,455091.8782,agi,0.3278702476319986
30,203106.315,454505.3465,agi,0.664526911
31,203228.79,454870.2429,agi,0.40231447421237493
32,203319.11,454571.8708,agi,0.3390309557911677
33,203435.555,454743.9037,agi,0.8693313223520001
34,203554.755,454597.8999,agi,0.8793792198447357
35,203644.7,454483.1731,agi,0.7850384088698767
36,203680.83,454618.3497,agi,0.4827682615040224
37,204408.7,455891.5708,agi,0.35860326840383033
38,204476.375,455347.1775,agi,0.7105398159072942
39,203896.2,453735.7048,agi,0.5640914962437609
40,203933.4,454038.0496,agi,0.3732229409068673
41,204055.115,451857.9025,agi,0.5971061460667622
42,204134.595,454232.229,agi,0.320633113
43,204300.485,452087.3581,agi,0.8455922412472694
44,204455.67,452808.4479,agi,0.4552679889600102
45,204468.265,453563.5435,agi,0.6975133706123893
46,204535.51,452216.1579,agi,0.4870266456536466
47,204562.425,453145.6513,agi,0.6120408127066865
48,204872.605,454164.175,agi,0.6280261676059677
49,204870.375,451393.819,agi,0.4109126733153162
50,205145.465,451156.1173,agi,0.8817507766587351
51,205237.035,451069.1415,agi,0.7650796940166689
52,205622.85,451077.8711,agi,0.8636993649385136
53,205858.15,451449.0905,agi,0.8368964102565895
54,204910.1,453532.6809,agi,0.6587399872866511
55,204920.075,453921.8366,agi,0.8531245410138701
56,205162.385,452424.3949,agi,0.3530955012311517
57,205261.065,453650.6137,agi,0.4175897174514871
58,205281.79,452550.4423,agi,0.32713637334632284
59,205404.005,452411.1106,agi,0.49519819845795865
60,205426.4,453144.1662,agi,0.5332063738136892
61,205466.475,453469.2167,agi,0.4628094190643376
62,205581.365,453102.587,agi,0.7972425054911576
63,205600.81,452568.5779,agi,0.5140519960161536
64,205896.69,450507.715,agi,0.4685607058124285
65,205957.7,449836.7478,agi,0.6256176498949491
66,205981.29,451496.234,agi,0.3845545349848576
67,205970.045,449622.4824,agi,0.7813181884524238
68,206012.855,451204.4787,agi,0.3447303862078625
69,206032.345,451168.4749,agi,0.8921321619603104
70,206148.71,450604.0548,agi,0.7633468615779946
71,206194.3,450164.8225,agi,0.4192294089205034
72,205641.75,453038.5122,agi,0.30331327027416144
73,205853.5,452037.3436,agi,0.7892768570729005
74,206084.945,452035.2853,agi,0.7241144063085703
75,206148.725,453226.2269,agi,0.7374043008245925
76,206211.725,452497.9426,agi,0.7627622080115675
77,206320.425,452734.4513,agi,0.3444267910404542
78,206449.18,453015.655,agi,0.5150794371265636
79,206530.485,454090.0491,agi,0.36952143571507784
