origin_id,northing,easting,population
E01028513,207891.4681,455368.0371,2596
E01028514,207810.3091,455787.4497,1571
E01028515,207597.2301,456264.652,1696
E01028516,207712.8484,455008.4089,2242
E01028517,202877.2922,456129.1052,1353
E01028518,203098.191,455675.8116,1575
E01028519,203114.1885,455201.8287,1715
E01028520,202609.9902,455800.9905,1697
E01028521,206497.3639,451452.783,9746
E01028522,205970.6039,451386.6611,3802
E01028523,206111.4981,454622.1355,1607
E01028524,206098.3002,455368.1061,1724
E01028525,205674.4366,455264.2047,2140
E01028526,206502.4355,453843.706,2321
E01028527,204193.5494,453571.179,1753
E01028528,204264.5736,454184.065,1599
E01028529,203849.3916,454536.3983,1748
E01028530,203693.9209,454285.0501,2047
E01028531,204614.2631,454592.6304,2132
E01028532,205090.4866,453678.9434,2969
E01028534,207207.1933,453784.5435,1231
E01028535,206865.2311,454490.8296,2140
E01028536,206647.0808,454468.6309,1498
E01028537,207319.5886,454348.0612,1800
E01028538,208229.039,453726.713,1751
E01028539,207928.9482,453318.2582,2114
E01028540,207142.7244,453180.7352,2944
E01028541,204712.6531,451548.3408,1420
E01028542,204219.2613,451881.706,1872
E01028543,205561.061,451165.1525,1177
E01028544,205254.3086,451371.6411,1166
E01028545,204974.2544,452663.3074,1771
E01028546,204543.4743,452830.0133,1865
E01028547,205059.9736,453157.5302,2321
E01028548,206221.4744,449774.0754,1927
E01028549,206087.6492,450272.0226,1451
E01028550,206978.8125,450589.1959,1394
E01028551,206620.6095,450662.6536,1697
E01028552,202709.277,454068.6113,2129
E01028553,202765.3148,453657.4459,1750
E01028554,203472.5793,453907.781,1548
E01028555,203284.3477,454304.9016,1612
E01028556,205136.165,455202.6977,2477
E01028557,204718.4759,455252.6095,2063
E01028558,204435.678,455045.1193,1740
E01028559,205595.7719,454925.5117,1876
E01028560,208254.5416,452505.1897,1808
E01028561,208154.1217,452818.6642,1970
E01028562,207715.825,452811.9691,1925
E01028563,207177.9206,452753.8473,1597
E01028565,207581.2099,450475.7253,1280
E01028567,202731.8914,454863.4838,1874
E01028568,202290.0139,455184.302,1476
E01028569,202275.3314,455842.1847,1582
E01028570,202043.7489,455531.3153,2084
E01028571,206723.3242,455609.879,1620
E01028572,207161.4488,456030.3161,1709
E01028573,206973.1705,454992.7821,1769
E01028574,207227.1023,455380.0959,1374
E01028575,203883.1533,453094.1841,1509
E01028576,203318.6501,453492.5143,1718
E01028577,203126.6409,453037.0579,2283
E01028578,203721.9361,453602.0178,1499
E01028579,205654.2427,453212.9265,1737
E01028580,205920.3814,452802.7683,1330
E01028581,205786.6067,453470.2525,1484
E01028582,206046.0261,452507.0742,1307
E01028584,208310.2313,450423.9523,2445
E01028586,205333.0897,452722.4138,1642
E01028587,205431.7546,452928.0005,1849
E01028588,205710.1364,452555.104,1749
E01028591,209276.1241,450901.6744,1281
E01028592,208955.9337,450604.1006,1622
E01028594,210394.161,450077.2704,1573
E01028595,209734.1649,448973.8313,1465
E01028596,209796.2757,449917.661,1408
E01028597,210405.0178,450688.3867,1499
E01032554,209620.9376,450683.3738,2161
E01032555,210008.8807,450786.4547,1934
