,origin_id,northing,easting,geometry,population
0,E01017642,213996.8109250592,465428.1434499847,POINT (465428.1434499847 213996.8109250592),6339
1,E01017643,212017.55722324975,464016.8573487989,POINT (464016.8573487989 212017.55722324975),7066
2,E01017681,209022.72042174631,469380.73385155643,POINT (469380.73385155643 209022.72042174631),7074
3,E01017682,208834.19242157752,469268.1949514571,POINT (469268.1949514571 208834.19242157752),6862
4,E01017683,207471.25631979393,465026.07094866026,POINT (465026.07094866026 207471.25631979393),9212
5,E01028455,223461.23633170215,459536.10784790904,POINT (459536.10784790904 223461.23633170215),7465
6,E01028456,223294.70323144796,458784.15664741816,POINT (458784.15664741816 223294.70323144796),7416
7,E01028457,223572.3468317116,459026.82184761245,POINT (459026.82184761245 223572.3468317116),6904
8,E01028458,223845.70323197573,459309.7817478309,POINT (459309.7817478309 223845.70323197573),7928
9,E01028459,224203.3539321642,458679.59604749875,POINT (458679.59604749875 224203.3539321642),7386
10,E01028460,224037.32743188628,457769.80944690946,POINT (457769.80944690946 224037.32743188628),10223
11,E01028461,224083.71133200213,458257.0705472184,POINT (458257.0705472184 224083.71133200213),8401
12,E01028462,223583.2581316057,458316.22234717506,POINT (458316.22234717506 223583.2581316057),7794
13,E01028463,222146.84323059377,459204.1647474935,POINT (459204.1647474935 222146.84323059377),13018
14,E01028464,221513.8092300705,459142.658047354,POINT (459142.658047354 221513.8092300705),8249
15,E01028465,221749.77253032947,459558.2002476482,POINT (459558.2002476482 221749.77253032947),7098
16,E01028466,222610.18213071005,457615.8210465862,POINT (457615.8210465862 222610.18213071005),8832
17,E01028467,222723.56813098124,458747.8849473043,POINT (458747.8849473043 222723.56813098124),9371
18,E01028469,223456.74073134002,457277.80144651217,POINT (457277.80144651217 223456.74073134002),7069
19,E01028470,223214.5885312446,457918.90244687034,POINT (457918.90244687034 223214.5885312446),8427
20,E01028471,223045.78033102647,457373.20334650564,POINT (457373.20334650564 223045.78033102647),6819
21,E01028472,222960.5878309048,457056.6326462958,POINT (457056.6326462958 222960.5878309048),5908
22,E01028473,222925.85453082278,456705.77354607295,POINT (456705.77354607295 222925.85453082278),7217
23,E01028477,225421.07343295752,457486.2782469544,POINT (457486.2782469544 225421.07343295752),12843
24,E01028487,213987.05622234975,448673.2055396323,POINT (448673.2055396323 213987.05622234975),6287
25,E01028488,214379.5293226409,448524.09223960195,POINT (448524.09223960195 214379.5293226409),7066
26,E01028489,214460.02532283805,449373.276440147,POINT (449373.276440147 214460.02532283805),6854
27,E01028490,214644.1734228832,448720.84463976795,POINT (448720.84463976795 214644.1734228832),6401
28,E01028491,213990.3134224622,449382.82944007736,POINT (449382.82944007736 213990.3134224622),8221
29,E01028492,213581.51972214412,449444.8491400502,POINT (449444.8491400502 213581.51972214412),7893
30,E01028493,213753.9111223824,450054.39174045925,POINT (450054.39174045925 213753.9111223824),7228
31,E01028494,213571.8132220388,448843.5820396722,POINT (448843.5820396722 213571.8132220388),5661
32,E01028495,213059.25342172512,449447.74703996774,POINT (449447.74703996774 213059.25342172512),6602
33,E01028496,212671.6240214163,449448.7776399057,POINT (449448.7776399057 212671.6240214163),7002
34,E01028497,219004.72362680215,451279.7571420689,POINT (451279.7571420689 219004.72362680215),6978
35,E01028498,217688.46362552443,449918.37324100663,POINT (449918.37324100663 217688.46362552443),8246
36,E01028499,222483.75353112706,460871.189648575,POINT (460871.189648575 222483.75353112706),10325
37,E01028500,217124.57222691918,461467.37354807515,POINT (461467.37354807515 217124.57222691918),9280
38,E01028501,215402.00872503762,458347.5061458759,POINT (458347.5061458759 215402.00872503762),5917
39,E01028502,214233.7184232216,452883.4412423015,POINT (452883.4412423015 214233.7184232216),5823
40,E01028507,226774.87983242818,447097.91204067226,POINT (447097.91204067226 226774.87983242818),7107
41,E01028510,213288.05222160078,447512.8184387919,POINT (447512.8184387919 213288.05222160078),8350
42,E01028511,212969.89982171555,449837.15304019686,POINT (449837.15304019686 212969.89982171555),9476
43,E01028512,212254.63562083093,447905.68083887175,POINT (447905.68083887175 212254.63562083093),9602
44,E01028513,207891.46811854554,455368.03714280814,POINT (455368.03714280814 207891.46811854554),13339
45,E01028514,207810.30911854736,455787.44974305405,POINT (455787.44974305405 207810.30911854736),7925
46,E01028515,207597.23011845676,456264.6520433137,POINT (456264.6520433137 207597.23011845676),8687
47,E01028516,207712.8484183437,455008.4089425563,POINT (455008.4089425563 207712.8484183437),12807
48,E01028517,202877.2922146751,456129.105242449,POINT (456129.105242449 202877.2922146751),6913
49,E01028518,203098.1910147745,455675.8116422061,POINT (455675.8116422061 203098.1910147745),8133
50,E01028519,203114.18851471128,455201.8287419161,POINT (455201.8287419161 203114.18851471128),8890
51,E01028520,202609.99021440797,455800.99054220214,POINT (455800.99054220214 202609.99021440797),8467
52,E01028521,206497.36391679477,451452.7830401505,POINT (451452.7830401505 206497.36391679477),48749
53,E01028522,205970.60391636228,451386.66114002286,POINT (451386.66114002286 205970.60391636228),20545
54,E01028523,206111.49811700324,454622.1355420537,POINT (454622.1355420537 206111.49811700324),8568
55,E01028524,206098.30021711416,455368.10614251276,POINT (455368.10614251276 206098.30021711416),8682
56,E01028525,205674.4366167611,455264.20474237856,POINT (455264.20474237856 205674.4366167611),10530
57,E01028526,206502.4355171873,453843.70604163606,POINT (453843.70604163606 206502.4355171873),11128
58,E01028527,204193.54941530008,453571.17904108635,POINT (453571.17904108635 204193.54941530008),9017
59,E01028528,204264.5736154575,454184.0650414776,POINT (454184.0650414776 204264.5736154575),8255
60,E01028529,203849.3916151839,454536.39834162686,POINT (454536.39834162686 203849.3916151839),9059
61,E01028530,203693.92091501917,454285.05014144565,POINT (454285.05014144565 203693.92091501917),10608
62,E01028531,204614.26311580354,454592.6304417882,POINT (454592.6304417882 204614.26311580354),10625
63,E01028532,205090.48661603616,453678.94344130123,POINT (453678.94344130123 205090.48661603616),14803
64,E01028534,207207.19331774244,453784.54354171525,POINT (453784.54354171525 207207.19331774244),6105
65,E01028535,206865.23111758183,454490.8296420966,POINT (454490.8296420966 206865.23111758183),10879
66,E01028536,206647.08081740467,454468.63094204693,POINT (454468.63094204693 206647.08081740467),7223
67,E01028537,207319.5886179228,454348.0612420829,POINT (454348.0612420829 207319.5886179228),8808
68,E01028538,208229.03901854757,453726.71304184716,POINT (453726.71304184716 208229.03901854757),9007
69,E01028539,207928.94821824064,453318.2582415446,POINT (453318.2582415446 207928.94821824064),10619
70,E01028540,207142.7244175914,453180.73524133017,POINT (453180.73524133017 207142.7244175914),11105
71,E01028541,204712.6531153834,451548.34083991655,POINT (451548.34083991655 204712.6531153834),6927
72,E01028542,204219.26131504396,451881.70604004245,POINT (451881.70604004245 204219.26131504396),9054
73,E01028543,205561.0610159989,451165.15253981773,POINT (451165.15253981773 205561.0610159989),5907
74,E01028544,205254.3086157859,451371.64113989583,POINT (451371.64113989583 205254.3086157859),5672
75,E01028545,204974.2544157742,452663.3074406523,POINT (452663.3074406523 204974.2544157742),8888
76,E01028546,204543.4743154581,452830.01334068464,POINT (452830.01334068464 204543.4743154581),9392
77,E01028547,205059.9736159233,453157.53024097305,POINT (453157.53024097305 205059.9736159233),11711
78,E01028548,206221.47441629716,449774.0754390593,POINT (449774.0754390593 206221.47441629716),9794
79,E01028549,206087.64921627304,450272.0226393478,POINT (450272.0226393478 206087.64921627304),6986
80,E01028550,206978.81251703773,450589.1959396916,POINT (450589.1959396916 206978.81251703773),6999
81,E01028551,206620.6095167632,450662.65363967867,POINT (450662.65363967867 206620.6095167632),8635
82,E01028552,202709.2770141997,454068.61134114856,POINT (454068.61134114856 202709.2770141997),11470
83,E01028553,202765.31481417664,453657.4459409034,POINT (453657.4459409034 202765.31481417664),10614
84,E01028554,203472.57931478258,453907.7810411755,POINT (453907.7810411755 203472.57931478258),7643
85,E01028555,203284.34771469684,454304.90164139005,POINT (454304.90164139005 203284.34771469684),8056
86,E01028556,205136.16501632007,455202.6977422516,POINT (455202.6977422516 205136.16501632007),14027
87,E01028557,204718.4759159974,455252.6095422134,POINT (455252.6095422134 204718.4759159974),10755
88,E01028558,204435.6780157354,455045.1193420384,POINT (455045.1193420384 204435.6780157354),8580
89,E01028559,205595.7719166422,454925.51174215623,POINT (454925.51174215623 205595.7719166422),9609
90,E01028560,208254.54161836946,452505.18974109297,POINT (452505.18974109297 208254.54161836946),9282
91,E01028561,208154.12171833898,452818.6642412713,POINT (452818.6642412713 208154.12171833898),9883
92,E01028562,207715.8250179877,452811.9691411953,POINT (452811.9691411953 207715.8250179877),9768
93,E01028563,207177.92061754817,452753.84734107094,POINT (452753.84734107094 207177.92061754817),7996
94,E01028565,207581.20991750003,450475.7253397195,POINT (450475.7253397195 207581.20991750003),6353
95,E01028567,202731.89141434903,454863.4838416437,POINT (454863.4838416437 202731.89141434903),9563
96,E01028568,202290.01391405007,455184.3020417684,POINT (455184.3020417684 202290.01391405007),7324
97,E01028569,202275.3314141481,455842.18474217196,POINT (455842.18474217196 202275.3314141481),7843
98,E01028570,202043.7489139118,455531.31534194166,POINT (455531.31534194166 202043.7489139118),10454
99,E01028571,206723.3242176525,455609.87904276524,POINT (455609.87904276524 206723.3242176525),8220
100,E01028572,207161.44881806697,456030.31614309724,POINT (456030.31614309724 207161.44881806697),9213
101,E01028573,206973.17051775113,454992.7821424249,POINT (454992.7821424249 206973.17051775113),9045
102,E01028574,207227.10231801687,455380.0959427063,POINT (455380.0959427063 207227.10231801687),7128
103,E01028575,203883.1533149751,453094.1841407393,POINT (453094.1841407393 203883.1533149751),7486
104,E01028576,203318.65011459158,453492.51434089284,POINT (453492.51434089284 203318.65011459158),8619
105,E01028577,203126.6409143642,453037.05794057884,POINT (453037.05794057884 203126.6409143642),11460
106,E01028578,203721.9361149316,453602.01784102747,POINT (453602.01784102747 203721.9361149316),7641
107,E01028579,205654.24271640636,453212.9265411054,POINT (453212.9265411054 205654.24271640636),8443
108,E01028580,205920.3814165524,452802.76834089466,POINT (452802.76834089466 205920.3814165524),7663
109,E01028581,205786.60671655508,453470.2525412867,POINT (453470.2525412867 205786.60671655508),7843
110,E01028582,206046.02611660474,452507.0742407318,POINT (452507.0742407318 206046.02611660474),5952
111,E01028584,208310.2313180747,450423.95233980636,POINT (450423.95233980636 208310.2313180747),12274
