,access_pt_id,site_id,has_agi,has_sac,has_sssi,is_protected,designation_count,snap_distance_m,easting,northing,geometry
0,ap_0042036,14,True,False,False,False,1,0.0,446458.85890000034,191462.44859999977,POINT (446458.85890000034 191462.44859999977)
1,ap_0042037,15,True,False,False,False,1,0.14572000037878752,446614.57859999966,191314.36610000022,POINT (446614.57859999966 191314.36610000022)
2,ap_0042038,15,True,False,False,False,1,0.23024543671534842,446793.84360000025,191083.80269999988,POINT (446793.84360000025 191083.80269999988)
3,ap_0042673,13,True,False,False,False,1,0.0,461049.4249,189454.28529999964,POINT (461049.4249 189454.28529999964)
4,ap_0042674,13,True,False,False,False,1,0.033982185603796844,461148.32749999966,189434.31389999948,POINT (461148.32749999966 189434.31389999948)
5,ap_0042675,13,True,False,False,False,1,0.06029435650907894,461455.0920000002,189422.1194000002,POINT (461455.0920000002 189422.1194000002)
6,ap_0042676,13,True,False,False,False,1,0.0,461454.8849999998,189422.08060000092,POINT (461454.8849999998 189422.08060000092)
7,ap_0042678,13,True,False,False,False,1,0.3567999992519617,461695.25100000016,189293.35679999925,POINT (461695.25100000016 189293.35679999925)
8,ap_0042679,13,True,False,False,False,1,0.17395234276523105,461737.4848999996,189280.95460000075,POINT (461737.4848999996 189280.95460000075)
9,ap_0042680,13,True,False,False,False,1,0.1973714126109508,461738.7745000003,189280.33689999953,POINT (461738.7745000003 189280.33689999953)
10,ap_0042681,13,True,False,False,False,1,0.0,461899.8130999999,189226.45629999973,POINT (461899.8130999999 189226.45629999973)
11,ap_0042682,13,True,False,False,False,1,0.0,461902.97670000046,189258.5440999996,POINT (461902.97670000046 189258.5440999996)
12,ap_0042686,19,True,False,False,False,1,0.24390233785921644,458369.0580000002,190481.13560000062,POINT (458369.0580000002 190481.13560000062)
13,ap_0042687,3,True,False,False,False,1,0.0,458374.8234000001,186899.31090000086,POINT (458374.8234000001 186899.31090000086)
14,ap_0042688,3,True,False,False,False,1,0.4090993298833835,458282.7209000001,186998.46759999916,POINT (458282.7209000001 186998.46759999916)
15,ap_0042689,11,True,False,False,False,1,0.0,455914.0937999999,188546.99349999987,POINT (455914.0937999999 188546.99349999987)
16,ap_0042690,11,True,False,False,False,1,0.01863041077145596,455934.11149999965,188477.69380000047,POINT (455934.11149999965 188477.69380000047)
17,ap_0042691,19,True,False,False,False,1,0.043080198825877235,458610.58719999995,190748.7394999992,POINT (458610.58719999995 190748.7394999992)
18,ap_0042692,19,True,False,False,False,1,0.04438108178885553,458587.33719999995,190670.8872999996,POINT (458587.33719999995 190670.8872999996)
19,ap_0042693,12,True,False,False,False,1,0.32396285766176264,459400.47470000014,189368.95820000023,POINT (459400.47470000014 189368.95820000023)
20,ap_0042694,12,True,False,False,False,1,0.5319909278558258,459264.5323999999,189694.6612999998,POINT (459264.5323999999 189694.6612999998)
21,ap_0042695,12,True,False,False,False,1,0.0,459377.7193999998,189610.3975000009,POINT (459377.7193999998 189610.3975000009)
22,ap_0042704,2,True,False,False,False,1,0.0,455684.02469999995,186052.05540000089,POINT (455684.02469999995 186052.05540000089)
23,ap_0042748,12,True,False,False,False,1,0.2931999992579222,460391.19600000046,189148.70680000074,POINT (460391.19600000046 189148.70680000074)
24,ap_0042749,12,True,False,False,False,1,0.04548186338740949,460610.55979999993,189119.42950000055,POINT (460610.55979999993 189119.42950000055)
25,ap_0042750,12,True,False,False,False,1,0.16132095336619115,460510.09470000025,189465.1305999998,POINT (460510.09470000025 189465.1305999998)
26,ap_0042751,12,True,False,False,False,1,0.0,460397.1085000001,189386.64949999936,POINT (460397.1085000001 189386.64949999936)
27,ap_0042752,1,True,False,False,False,1,0.13892466356559796,454405.8635,185949.42400000058,POINT (454405.8635 185949.42400000058)
28,ap_0042753,1,True,False,False,False,1,0.0,454504.92289999966,186210.85500000045,POINT (454504.92289999966 186210.85500000045)
29,ap_0042790,9,True,False,False,False,1,0.0,452520.01350000035,188185.57990000024,POINT (452520.01350000035 188185.57990000024)
30,ap_0042791,1,True,False,False,False,1,0.22232161763704178,453126.42260000017,185927.49980000034,POINT (453126.42260000017 185927.49980000034)
31,ap_0042792,1,True,False,False,False,1,0.4065818887352408,453095.0120000001,185906.49880000018,POINT (453095.0120000001 185906.49880000018)
32,ap_0042793,1,True,False,False,False,1,0.4340883085198486,453094.5865000002,185906.13209999911,POINT (453094.5865000002 185906.13209999911)
33,ap_0042804,8,True,False,False,False,1,0.281857780153627,449426.1584000001,189085.23330000043,POINT (449426.1584000001 189085.23330000043)
34,ap_0042805,8,True,False,False,False,1,0.0,449403.73330000043,189036.9475999996,POINT (449403.73330000043 189036.9475999996)
35,ap_0042933,17,True,False,False,False,1,0.0,451603.56039999984,189731.45470000058,POINT (451603.56039999984 189731.45470000058)
36,ap_0042934,9,True,False,False,False,1,0.2824856476004834,451300.6096999999,189359.6640000008,POINT (451300.6096999999 189359.6640000008)
37,ap_0042935,1,True,False,False,False,1,0.0,453110.33939999994,185697.90369999968,POINT (453110.33939999994 185697.90369999968)
38,ap_0042936,1,True,False,False,False,1,0.0,453110.1292000003,185696.0438000001,POINT (453110.1292000003 185696.0438000001)
39,ap_0045449,48,True,False,False,False,1,0.0,448186.9463999998,194176.09589999914,POINT (448186.9463999998 194176.09589999914)
40,ap_0045450,48,True,False,False,False,1,0.41282709922862365,448073.1933000004,194164.47880000062,POINT (448073.1933000004 194164.47880000062)
41,ap_0045560,530,True,True,True,True,3,0.3987375142050684,449102.0049999999,209626.5689000003,POINT (449102.0049999999 209626.5689000003)
42,ap_0045561,368,True,False,False,False,1,0.0,449866.7917999998,207344.45849999972,POINT (449866.7917999998 207344.45849999972)
43,ap_0045562,338,True,True,True,True,3,0.0,450223.68759999983,207833.43420000002,POINT (450223.68759999983 207833.43420000002)
44,ap_0045565,592,True,False,False,False,1,0.03920714568072796,449393.8337000003,209977.85909999907,POINT (449393.8337000003 209977.85909999907)
45,ap_0045566,592,True,False,False,False,1,0.03993525425906745,449394.32660000026,209977.51710000075,POINT (449394.32660000026 209977.51710000075)
46,ap_0045567,592,True,False,False,False,1,0.045021296096612984,449397.6741000004,209975.19459999911,POINT (449397.6741000004 209975.19459999911)
47,ap_0045568,592,True,False,False,False,1,0.0476053627708357,449399.3811999997,209974.01019999944,POINT (449399.3811999997 209974.01019999944)
48,ap_0045569,386,True,False,False,False,1,0.0,449856.0800000001,207292.08000000007,POINT (449856.0800000001 207292.08000000007)
49,ap_0045570,386,True,False,False,False,1,0.17529177028591147,450081.6015999997,206991.3537000008,POINT (450081.6015999997 206991.3537000008)
50,ap_0045571,591,True,False,False,False,1,0.0,449571.02329999954,209673.8557999991,POINT (449571.02329999954 209673.8557999991)
51,ap_0045572,591,True,False,False,False,1,0.0,449537.8650000002,209601.2773000002,POINT (449537.8650000002 209601.2773000002)
52,ap_0045574,907,True,False,False,False,1,0.3091291230555363,457716.9840000002,223627.8264000006,POINT (457716.9840000002 223627.8264000006)
53,ap_0045575,907,True,False,False,False,1,0.07523071241048308,457721.8886000002,223625.09940000065,POINT (457721.8886000002 223625.09940000065)
54,ap_0045576,907,True,False,False,False,1,0.0,457995.76109999977,223480.68799999915,POINT (457995.76109999977 223480.68799999915)
55,ap_0045577,907,True,False,False,False,1,0.0,458002.76960000023,223476.03639999963,POINT (458002.76960000023 223476.03639999963)
56,ap_0045578,907,True,False,False,False,1,0.0,457713.9665999999,223612.88269999996,POINT (457713.9665999999 223612.88269999996)
57,ap_0045579,907,True,False,False,False,1,0.1372945738318151,457680.89919999987,223768.60309999995,POINT (457680.89919999987 223768.60309999995)
58,ap_0045580,695,True,False,True,True,2,0.37477436888818383,461962.8173000002,211544.48010000028,POINT (461962.8173000002 211544.48010000028)
59,ap_0045581,695,True,False,True,True,2,0.0,461029.8350999998,210989.1043999996,POINT (461029.8350999998 210989.1043999996)
60,ap_0045582,695,True,False,True,True,2,0.0,462550.4956,211449.86539999954,POINT (462550.4956 211449.86539999954)
61,ap_0045583,696,True,False,False,False,1,0.09186416636009877,462326.8174999999,210755.25699999928,POINT (462326.8174999999 210755.25699999928)
62,ap_0045584,695,True,False,True,True,2,0.0,461198.77979999967,210605.77859999985,POINT (461198.77979999967 210605.77859999985)
63,ap_0045585,695,True,False,True,True,2,0.0,461200.7692,210605.3688999992,POINT (461200.7692 210605.3688999992)
64,ap_0045586,695,True,False,True,True,2,0.0,461239.9900000002,210598.4210000001,POINT (461239.9900000002 210598.4210000001)
65,ap_0045587,695,True,False,True,True,2,0.0,461480.5685999999,210507.5987999998,POINT (461480.5685999999 210507.5987999998)
66,ap_0045829,716,True,False,False,False,1,0.5540465473349221,441595.16700000037,212864.69319999963,POINT (441595.16700000037 212864.69319999963)
67,ap_0045830,716,True,False,False,False,1,0.0,441673.3738000002,212747.06020000018,POINT (441673.3738000002 212747.06020000018)
68,ap_0045831,711,True,False,False,False,1,0.024299999698996544,440234.0242999997,214100.35160000063,POINT (440234.0242999997 214100.35160000063)
69,ap_0045832,710,True,False,False,False,1,0.17035189708535303,437835.5510999998,213185.1146000009,POINT (437835.5510999998 213185.1146000009)
70,ap_0045833,710,True,False,False,False,1,0.0,437829.3638000004,213186.32120000012,POINT (437829.3638000004 213186.32120000012)
71,ap_0045834,710,True,False,False,False,1,0.18054012919105802,437874.7273000004,213249.94910000078,POINT (437874.7273000004 213249.94910000078)
72,ap_0045835,711,True,False,False,False,1,0.0,438680.1087999996,213635.51319999993,POINT (438680.1087999996 213635.51319999993)
73,ap_0045837,647,True,False,False,False,1,0.15361786982765951,432427.6283,211359.39990000054,POINT (432427.6283 211359.39990000054)
74,ap_0045838,647,True,False,False,False,1,0.0,432425.1660000002,211359.19270000048,POINT (432425.1660000002 211359.19270000048)
75,ap_0045839,647,True,False,False,False,1,0.11681404003812239,432467.0497000003,211357.11549999937,POINT (432467.0497000003 211357.11549999937)
76,ap_0045840,647,True,False,False,False,1,0.08716066729862108,432369.23259999976,211337.30409999937,POINT (432369.23259999976 211337.30409999937)
77,ap_0045841,709,True,False,False,False,1,0.08471139270541077,435239.8819000004,213194.76209999993,POINT (435239.8819000004 213194.76209999993)
78,ap_0045861,713,True,False,False,False,1,0.44850045689062545,442096.5976,214028.19820000045,POINT (442096.5976 214028.19820000045)
79,ap_0045862,713,True,False,False,False,1,0.2429384736230323,442041.9053999996,213929.61900000088,POINT (442041.9053999996 213929.61900000088)
80,ap_0045863,766,True,False,False,False,1,0.0,441505.55150000006,215851.9087000005,POINT (441505.55150000006 215851.9087000005)
81,ap_0045864,816,True,False,False,False,1,0.18568589090130305,444160.3739,217507.27390000038,POINT (444160.3739 217507.27390000038)
82,ap_0045865,816,True,False,False,False,1,0.0,444157.0388000002,217484.85239999928,POINT (444157.0388000002 217484.85239999928)
83,ap_0045866,816,True,False,False,False,1,0.0,444179.9299999997,217476.15340000018,POINT (444179.9299999997 217476.15340000018)
84,ap_0045867,766,True,False,False,False,1,0.0,441273.5532999998,215917.47499999963,POINT (441273.5532999998 215917.47499999963)
85,ap_0045868,913,True,False,False,False,1,0.370477289925853,444856.1610000003,224906.09180000052,POINT (444856.1610000003 224906.09180000052)
86,ap_0045869,913,True,False,False,False,1,0.0,444896.63320000004,224837.54340000078,POINT (444896.63320000004 224837.54340000078)
87,ap_0045872,896,True,False,False,False,1,0.0,447919.9171000002,220708.41029999964,POINT (447919.9171000002 220708.41029999964)
88,ap_0045873,896,True,False,False,False,1,0.0,448025.1468000002,220611.06519999914,POINT (448025.1468000002 220611.06519999914)
89,ap_0045874,896,True,False,False,False,1,0.10190000012516975,446993.95610000007,220865.89809999987,POINT (446993.95610000007 220865.89809999987)
90,ap_0045875,819,True,False,False,False,1,0.05217758140455867,445138.2570000002,216794.3939999994,POINT (445138.2570000002 216794.3939999994)
91,ap_0045876,819,True,False,False,False,1,0.0,445159.62490000017,216640.81120000035,POINT (445159.62490000017 216640.81120000035)
92,ap_0045877,822,True,False,False,False,1,0.0,448016.70830000006,216506.58180000074,POINT (448016.70830000006 216506.58180000074)
93,ap_0045919,847,True,False,False,False,1,0.0,435753.2709999997,219701.0742000006,POINT (435753.2709999997 219701.0742000006)
94,ap_0045920,847,True,False,False,False,1,0.0,435831.9201999996,219651.05870000087,POINT (435831.9201999996 219651.05870000087)
95,ap_0045921,850,True,False,False,False,1,0.0,436523.1687000003,219662.11360000074,POINT (436523.1687000003 219662.11360000074)
96,ap_0045922,847,True,False,False,False,1,0.3157327976965941,436362.46630000044,219623.36140000075,POINT (436362.46630000044 219623.36140000075)
97,ap_0045925,808,True,False,False,False,1,0.0,439364.87069999985,217107.97719999962,POINT (439364.87069999985 217107.97719999962)
98,ap_0045926,808,True,False,False,False,1,0.0,439304.9659000002,217077.37680000067,POINT (439304.9659000002 217077.37680000067)
